Question,Answer
우편청구서를 받고 싶어요,명세서를 우편으로 수령하고자 한다면 다음과 같은 방법으로 신청이 가능합니다. 명세서 수령방법 변경신청 1. 홈페이지 > 마이페이지 > 내정보관리 > 명세서수령방법 변경 메뉴에서 신청 2. 신한카드 고객센터(☎ 1544-7000)를 통해 변경 신청 참고사항 매월 결제일별 청구 작업 마감일이 다른 관계로 청구작업 마감일 이전 수령 방법 변경하시는 경우 변경된 우편명세서로 발송되며 청구작업 마감일 이후 우편명세서 수령 방법으로 변경하시는 경우 변경전 방법으로 발송되오니 참고 바랍니다.
우편물을 받고 싶지 않아요.,"행사 안내장 등 기타 우편물 수령을 원치 않을 경우 신한카드 고객센터(☎ 1544-7000) 또는 홈페이지 마이페이지 > 회원/결제정보변경 > 명세서수령방법변경 경로를 통해 우편물 미발송을 요청하시기 바랍니다. 단, 우편물 미발송 요청 시 기타 서비스 변경 안내문 또한 발송되지 않을 수 있으며 홈페이지에서 신청 시 인터넷 피싱사이트를 통한 거래사고 방지를 위해 공인인증서 인증 완료 후 신청할 수 있습니다. ※ 공인인증서 인증이 불가한 경우 신한카드 고객센터(☎ 1544-7000)로 연락하여 우편물 미발송을 요청하시기 바랍니다."
신한카드도 없는데 명세서가 왔어요. 어떻게 된 일이죠?,"신한카드를 이용하시는 다른 고객님께서 본인의 이메일 주소를 잘못 입력하여 다른 분에게 해당 청구서가 발송되는 경우가 있습니다. 이런 경우 평일 오전 9시~오후 6시까지 신한카드 고객센터(☎ 1544-7000) 또는 신한카드 홈페이지 이메일 상담으로 고객님의 이메일 주소, 청구서 수신자 명, 수신하신 첨부파일명을 확인하여 문의 주시면 해당 명세서가 고객님께 발송되지 않도록 처리해 드리고 있습니다. "
보안메일 확인 시 주민번호를 입력하면 틀리다고 나와요,보안메일 명세서 확인 시 메일확인번호는 주민번호 앞 6자리(생년월일)를 입력하면 됩니다.
보안메일 청구서 첨부파일이 확인되지 않아요,"보안 이메일 명세서의 첨부파일이 확인되지 않을 경우 일반적으로 다음과 같은 사유 중 하나일 수 있으며 발송된 이메일명세서의 본문내용에 있는 ‘첨부된 명세서가 안 열리세요? 문제해결방법보기 버튼’을 클릭하시면 해결할 수 있습니다. 문제해결방법 보기: www.shinhancard.com/conts/person/popup/point/UniSafeMail.html상황별 조치방법 Q. 첨부파일을 클릭해도 ‘메일 확인 번호 입력’ 창이 나오지 않고 아무런 내용이 없습니다. A. 인터넷 익스플로러7 이하 버전을 사용할 경우입니다. 최신버전으로 업데이트하거나, 타 브라우저(크롬, 사파리, 오페라, 파이어폭스 등)에서 열람하시면 됩니다. Q. 인터넷 익스플로러 사용 시 ‘이 스크립트의 실행을 멈추시겠습니까?’ 와 같이 스크립트를 멈추겠느냐는 메시지가 나옵니다. A. 인터넷 익스플로러 8 등 스크립트 수행이 느린 브라우저에서 간혹 발생하는 메시지입니다. 보안 메일이 자바스크립트 기반으로 작동하며 복잡한 연산을 수행하기 때문에 나오는 메시지이며 [아니요(N)] 버튼을 눌러주시면 됩니다. [예(Y)] 버튼을 누르면 스크립트 수행이 중단되므로 보안 메일 내용 확인이 안됩니다. Q. 아이폰 또는 안드로이드의 이메일 앱에서 이메일 첨부파일을 열고 메일 확인번호 입력했는데 작동하지 않습니다.A. 아이폰 또는 안드로이드의 이메일 앱에서는 기본 메일 클라이언트를 사용합니다.(HTMLViewer, 파일편집자). 그 때문에 첨부파일을 바로 클릭하면 보안상의 이유로 자바스크립트를 빼고 HTML 데이터만 보여주기 때문에 버튼에 들어가 있는 스크립트 기능이 작동하지 않아 발생하는 현상입니다. 따라서 자바스크립트가 수행 가능한 전용 앱 또는 모바일 웹브라우저 설치가 필요합니다.① 보안메일 전용 앱앱스토어 또는 마켓에서 보안메일로 검색하여 UniSafeMail 보안메일 앱을 설치해 주세요.② 모바일 웹브라우저앱스토어 또는 마켓에서 브라우저로 검색하여 파이어폭스, 돌핀, 오페라, 사파리, 크롬 등 모바일 웹브라우저를 설치해 주세요.③ 첨부파일 확인 시 보안메일 전용 앱 또는 모바일 웹브라우저 선택하여 이메일 확인Q. 아웃룩 익스프레스에서 확인 시 다음과 같은 메시지가 나타나면서 보안메일이 확인 안되는 경우 ‘이 웹사이트의 추가 기능이 실행되지 못했습니다. 잠재적인 충돌이 있는지 인터넷 옵션의 보안설정을 확인하십시오. 제한된 사이트 또는 ActiveX Contrl을 실행하는 것을 허용하지 않습니다’ A. 아웃룩 익스프레스에서 보안메일이 확인될 수 있도록 설정을 변경해야 합니다. 아래와 같이 설정을 변경해 주십시오. ① 아웃룩 익스프레스 메뉴 > 도구> 맨 아래 옵션> 보안 탭 > 제한된 사이트를 인터넷 영역으로 변경> 바이러스 감염 여부가 있는 첨부파일을 열거나 저장할 수 없음 체크해제> 확인② 아웃룩 익스프레스를 닫았다가 다시 열어서 보안메일이 열리는지 확인Q. 윈도우 라이브 메일에서 확인 시 다음과 같은 메시지가 나타나면서 보안메일이 확인 안되는 경우 ‘이 웹사이트의 추가 기능을 수행하지 못했습니다. 보안 메시지를 실행할 수 없습니다’ A. 윈도우 라이브 메일에서 보안메일이 확인될 수 있도록 설정을 변경해야 합니다. 아래와 같이 설정을 변경해 주십시오. ① 윈도우 라이브 메일 설정 > 제일 왼쪽 하단으로 메뉴가 펼쳐짐 > 옵션 > 보안 옵션 > 보안 > 바이러스 가능성 있는 첨부파일을 열거나 저장할 수 없음 체크해제 > 확인② 윈도우 라이브 메일을 닫았다가 다시 열어서 보안메일이 열리는지 확인Q. 첨부파일을 클릭 시 인터넷이 실행되지 않고, 메모장, 노트패드, 엑셀, 워드, 파워포인트 등의 프로그램이 실행되면서 글자가 깨져 나오는 경우A. 신한카드 이메일 명세서 첨부파일은 html 웹 파일로 인터넷 익스플로러가 자동 실행되어야 하나, 파일의 연결 프로그램 설정이 메모장, 노트패드, 엑셀, 워드 등으로 연결되어 나타나는 현상입니다. 아래와 같이 설정을 변경해 주십시오.① 이메일 첨부파일(shinhancard_결제일_123456789.html)을 PC에 저장② 저장된 파일 위에 마우스를 놓고, 오른쪽 버튼 클릭하여 연결 프로그램 클릭> 프로그램 선택③ Internet Explorer 선택> 이 종류의 파일을 열 때 항상 선택된 프로그램 사용에 체크> 확인④ 저장된 파일을 클릭하여 인터넷 익스플로러가 실행되면서 내용이 정상적으로 보이는지 확인"
보안 이메일이 무엇이며 어떻게 확인하나요?,보안 이메일 명세서는 첨부파일 클릭 후 본인확인번호(생년월일 6자리) 입력 후 열람하여야 하며 별도 보안프로그램 설치는 필요하지 않습니다. 보안 이메일 발송내용은 다음과 같습니다. 1. 이용하기 발송된 이메일의 상단 첨부파일 클릭 후 비밀번호 입력란에 생년월일 6자리 입력하면 확인 가능 2. 저장하기 이메일 청구서의 첨부파일 클릭하여 다른 이름으로 저장 클릭 시 PC에 청구서 저장가능 3. 보안 이메일 재발송 요청 홈페이지 카드이용내역 > 이용대금명세서 > 명세서 재발행 > 이메일명세서 메뉴에서 신청 또는 고객센터(☎ 1544-7000)로 연락하여 재발송 요청 가능 
명세서를 이메일로만 받고 싶어요.,"명세서를 이메일로 수령 하시고자 한다면 다음과 같은 방법으로 신청이 가능합니다. 1. 홈페이지> 마이페이지> 회원/결제정보변경> 명세서수령방법변경 메뉴에서 보안 이메일 또는 이메일로 변경 신청 2. 신한카드 고객센터(☎ 1544-7000)를 통해 변경 신청 ※ 참고사항 1. 매월 결제일별 청구 작업 마감일이 다른 관계로 청구작업 마감일 이전 수령 방법을 변경하는 경우 변경된 이메일명세서로 발송되며, 청구작업 마감일 이후 이메일명세서로 수령 방법을 변경하는 경우 변경 전 방법으로 발송됩니다. 2. 결제방법이 지로인 경우 별도의 지로용지는 발송되지 않습니다. 3. 보안 이메일의 경우 메일 용량이 큼으로 인해 이용하시는 메일서버에 따라 이메일 수신율이 낮을 수 있습니다."
명세서를 받지 못했어요. 어떻게 하나요?,"명세서는 이메일의 경우 결제일로부터 7~8일 이전, 우편의 경우 결제일로부터 5~6일 이전에 수령 가능하도록 발송되고 있습니다.이용하는 메일 종류나 수신 지역에 따라 수령 시기의 차이가 발생할 수 있으나 결제일에서 3~4일 이전까지도 명세서를 수령하지 못했다면 먼저 신한카드 홈페이지를 통해 당월 청구금액 확인을 부탁드립니다. 이후 이메일 주소 또는 청구서 수령 주소를 확인한 뒤 정보수정 및 청구서 재발송 요청을 부탁드립니다. 확인 및 조치방법 1. 청구서 확인 1) 홈페이지 마이페이지 > 카드이용내역 > 이용대금명세서 > 이번달명세서 또는 월별명세서 2) 청구내역이 없는 경우 해당 월에 청구된 금액이 없음을 의미 2. 청구서 재발송 요청 1) 이메일명세서 홈페이지 마이페이지 > 카드이용내역 > 이용대금명세서 > 명세서재발행 > 이메일명세서 2) 우편명세서 - 신한카드 고객센터(☎ 1544-7000)로 연락하여 재발송 요청 - 이번달명세서 또는 월별명세서 > 이메일로 발송하기 선택 > 해당월 명세서를 간단명세서 양식으로 다음 영업일에 요청한 이메일로 수령 가능함 3. 주소확인 1) 홈페이지 마이페이지 > 회원/결제정보변경 > 회원정보변경 > 회원정보조회/변경 2) 이메일주소가 잘못된 경우엔 변경 후 이메일 청구서 재발송 신청 3) 청구서 수령 주소가 잘못된 경우엔 변경 후 신한카드 고객센터(☎ 1544-7000)로 재발송 신청"
명세서 수령방법을 변경했는데 왜 이전방법으로 오나요?,명세서 수령방법을 변경했음에도 불구하고 이전과 동일한 수령방법으로 명세서가 도착했다면 이는 청구서 작업 마감일 이후 수령방법을 변경하신 경우입니다. 따라서 다음달 청구서부터 변경된 방법으로 수령하게 됩니다. 
명세서 수령 방법을 알고 싶어요,"신한카드의 경우 우편, 이메일(보안 이메일), 모바일을 통해 해당 월의 청구서를 받아볼 수 있습니다. 매월 결제일에 맞춰 발송되는 청구서는 이 중 한 가지의 방법으로 신청 가능하며 청구서 수령방법을 변경하고자 하는 경우 아래의 방법을 통해 변경할 수 있습니다. 청구서 수령방법 변경 1. 홈페이지> 마이페이지> 내정보관리 > 명세서수령방법 변경 메뉴에서 변경 2. 고객센터(☎ 1544-7000) 상담원을 통해 변경 요청 ※ 고객님의 요청에 따라 청구서가 발송되지 않도록 요청할 수 있으며 청구서 미발행을 요청하신 경우 홈페이지를 통해 청구금액을 확인할 수 있습니다. "
청구서 결제금액과 실제 입금금액이 달라요,"청구작업 이후에 매출취소가 접수되는 경우 청구서에 작성된 금액과 실제 결제금액이 다를 수 있습니다. 매출취소 반영 시 고객님의 결제일 청구작업 마감일에 따라 2가지 유형으로 청구되며 청구 기준은 다음과 같습니다. 매출취소 처리반영 기준 1. 청구작업 전 취소 반영 시에는 당월 청구서 거래내역에 취소로 기재되어 취소금액을 차감 후 청구 2. 청구 작업후 취소 반영시에는 취소 미반영 된 결제금액으로 청구서 작성됩니다. 1) 결제일 이전에 취소 반영될 경우 취소금액이 자동 차감된 후 실 거래금액만 인출 2) 결제일 이후에 취소 반영될 경우 결제일에 정상 출금 후 취소반영시점(확정일 기준) 기준으로 다음날(자연일 기준) 자동이체 계좌로 환불. 단, 미결제 금액이 있을 경우 자동 차감될 수 있습니다."
제가 사용한 금액과 실제 청구된 금액이 달라요,"카드 사용금액은 가맹점에서 고객님과의 확인 후 사용금액이 승인되고 해당 승인내역이 신한카드로 접수되어야 실제 청구가 이루어집니다. 따라서 카드사에서 임의로 승인금액을 변경하거나 추가로 청구할 수 없으므로, 실제 이용금액과 승인된 금액에 차이가 발생했거나 사용하지 않은 거래가 승인된 경우에는 해당 가맹점을 통해 확인 바랍니다. 만약 정상 거래가 아닌 경우 해당 가맹점을 통해 취소 요청하시고, 가맹점에서 취소요청을 거부하는 경우에는 신한카드 고객센터(☎ 1544-7000) 를 통해 상담받으시길 바랍니다. "
이용한 거래를 선결제시 청구서에서 제외할 수 있나요?,"일시불, 단기카드대출(현금서비스) 이용내역의 경우 당사 상담센터 1544-7000 또는 홈페이지를 통해 명세서 미표기 요청이 가능합니다.미표기를 원하시는 거래금액을 정보마감일(해당 거래 결제일의 청구서 작업일 이전)까지 선결제(완납) 후 상담센터 1544-7000으로 상담원을 통해 별도로 미표기를 요청하시거나 홈페이지를 통해 선결제시 미표기 선택 후 결제해 주시기 바랍니다.(선결제만 하신 경우 완납으로 표기되어 청구서 작성 됩니다.)홈페이지 선결제 이용방법홈페이지 > 마이페이지 > 카드이용내역 > 이용금액결제 > 이용건별 선결제또한 할부거래의 경우 결제일의 정보마감일 전까지 선결제 완납되면 해당 결제일의 내역서에 완납으로 표기되며 할부거래에 대해 명세서 이용대금 명세서상 미표기를 원하실 경우 당사 상담센터(1544-7000)로 연락 주시기 바랍니다.참고사항1. 명세서 미표기는 청구작업 이전 일시불, 단기카드대출(현금서비스) 상품에 한하여 이용내역별로 완납하실 경우에만 미표기 처리가 가능합니다.단, 할부거래에 대해 이용대금 명세서 상 미표기를 원하실 경우 당사 상담센터로 연락 주시기 바랍니다.2. 명세서 미표기가 활성화되지 않는 매출건은 청구작업이 완료된 건으로 이 경우 미표기 처리가 불가합니다.3. 이용대금명세서를 수령하신 이후(청구작업이후) 미표기 처리를 원하시는 경우 당사 상담센터 (1544-7000)로 연락해 재발행(현시점)요청하시길 바랍니다.4. 미표기가 요청 된 거래의 경우 이용대금명세서를 재발행 하거나 팩스 발송 시에도 미표기 상태로 발송됩니다.단, 홈페이지 이용내역에서도 미표기를 원하실 경우 당사 상담센터로 연락주시기 바랍니다.5. 비제휴 자동이체 고객은 이용 불가합니다."
왜 결제일에 맞게 사용한 건이 청구되지 않나요?,카드 결제일마다 신용제공기간이 정해져 있으며 해당 기간 내 사용하신 거래 내역이 신한카드로 접수된 후 고객님의 결제일에 청구됩니다. 즉 정상적으로 매출접수된 거래에 한하여 신용제공기간에 맞게 청구되며 혹시라도 매출표접수가 늦어질 경우 해당 결제일에 청구되지 못하고 다음달에 청구될 수 있습니다. 참고사항 당월 신용제공기간안에 이용된 거래라 하여도 매출표접수 시점에 따라 청구 결제일이 지연될 수 있음을 양해 바랍니다.
오래전에 이용했던 내역서를 받아보고 싶어요.,"현재 홈페이지 국내이용내역 조회는 이용내역과 승인내역으로 구분되며 승인내역은 최근 6개월, 이용내역은 최근 12개월 거래내역이 조회됩니다. 이전내역을 확인하고자 하는 경우 신한카드 고객센터(☎ 1544-7000)를 통해 확인 가능합니다. 단, 내역 확인까지는 2영업일~3영업일 정도 소요될 수 있으며 해당 거래내역은 우편 또는 팩스로 수신 가능합니다. (거래내역이 많을 경우 팩스 수신이 어려울 수 있으며 우편발송 시 약 4영업일~6영업일 정도 소요될 수 있습니다.)"
무이자할부 거래건은 어떻게 확인하나요?,신용카드 할부거래는 유이자할부와 무이자할부로 나뉘어 있으며 고객님의 이용대금 명세서 또는 신한카드홈페이지를 통해 확인할 수 있습니다. 1. 이용대금명세서 홈 >마이페이지 > 카드이용내역 > 이용대금명세서 > 이번달명세서및 월별명세서의 할인구분에 무이자가 표기되어 있으며 유이자할부의 경우 당월 청구되는 수수료가 기재되어 있습니다. 2. 홈페이지 홈 > 마이페이지 > 카드이용내역 > 이용내역조회 > 할부이용내역 > 유이자할부거래의 경우 할부 이자율이 별도 기재되어 있으며 무이자할부 거래의 경우 이율이 무이자로 확인됩니다. 
다음달 결제 금액을 알고 싶어요,"당월 청구금액 외 다음달 청구 예정금액은 신한카드 홈페이지> 마이페이지> 카드이용내역> 이용대금명세서> 다음달 결제예정내역을 통해 확인 가능합니다. 단, 결제 예정금액이므로 실제 청구금액과 차이가 있을 수 있으며 거래 승인 후 신한카드로 매출전표가 접수되지 않은 거래는 결제예정금액에서 제외되니 참고 바랍니다. "
결제일할인이 무엇인가요?,할인 서비스는 할인시점에 따라 결제일 할인 및 현장할인의 방식으로 제공됩니다. 1. 결제일할인 할인 제공처에서 카드 이용 시 거래 승인 시에는 원 거래금액으로 승인되고 해당 거래의 결제일에 할인금액이 차감되어 청구 2. 현장할인 할인 제공처에서 카드 이용 시 거래승인 시에 즉시 할인금액 차감 후 최종 승인 * 제휴서비스에 따라 적용되는 할인 방식이 다르므로 보유하신 상품 서비스를 참고하여 이용 바랍니다. 
결제 대금을 알고 싶어요,고객님의 결제금액은 홈페이지를 통해 직접 확인하실 수 있으며 신한카드 고객센터(☎ 1544-7000)를 통해서도 확인 가능합니다. 결제금액 확인방법 1. 홈페이지 이용 시 1) 마이페이지 > 카드이용내역 > 이용대금 명세서를 통해 당월 결제대금 확인 가능 2) 마이페이지 > 카드이용내역 > 이용대금 명세서 > 다음달 결제예정내역 경로를 통해 다음달 결제예정 금액 확인 가능 2. 고객센터 이용 시 1) ☎ 1544-7000 > 2 누르는 서비스 > 1 회원 > 2 결제대금 및 입금관련 문의 > 1 결제대금 조회 가능 2) ☎ 1544-7000 > 비밀번호 인증 > 결제대금 조회를 통해 확인 가능 3) 상담원 연결을 통해 결제금액 확인 가능 
카드대금 결제방법(납부방법)을 알고 싶어요,"신용카드 대금은 자동이체 결제방법, 실시간 즉시결제, 가상계좌 입금, 신한은행 창구를 통해 결제 할 수 있습니다.결제일 전 선결제는 실시간 즉시결제, 가상계좌 입금, 신한은행 창구를 통해서 가능합니다.1. 자동이체 결제 (자동납부)1) 대금결제일 고객 자동이체 결제계좌에서 카드대금을 자동으로 인출하여 결제하는 방법입니다.2) 은행 영업시간(16:00) 이후 결제계좌로 입금한 경우 당일 인출이 안될 수 있으며, 미 인출 시에는 연체료가 부과됩니다3) 연체금액 1만원 미만 또는 연회비만 청구되는 회원의 경우 발생시점 3개월 후 부터는 매주 첫 번째 영업일과 결제일에만 인출 요청되며, 자동이체로 인출요청 될 카드대금이 140원 미만 소액인 경우 신한카드 자체 비용처리로 자동이체 인출처리 되지 않습니다. 제휴 자동이체 기관신한카드와 제휴된 금융기관에 개설된 회원 결제계좌에서 자동이체로 대금을 인출하여 결제하는 방법으로 카드대금 미납 시 매 영업일 대금 인출 요청하며 최대 결제일+1일 입금반영 됩니다.※ 제휴 금융기관 : 신한, 농협, 국민, 우리, KEB하나, 기업, 스탠다드차타드, 경남, 광주, 대구, 부산, 산업, 새마을금고, 수협, 신협, 한국씨티, 우체국, 전북, 제주, 중앙회 소속 상호저축은행, 신한금투, 유안타증권, 삼성증권 비제휴 자동이체 기관 (금융CMS 자동이체) 신한카드와 제휴되지 않은 금융기관에 개설된 회원 결제계좌에서 자동이체로 대금을 인출하여 결제하는 방법으로 금융결제원망을 통해 결제가 이루어지므로 결제일 + 1영업일에 입금반영 되며, 카드대금 미납 시2~3영업일 간격으로 대금 인출 요청합니다.※ 비제휴 금융기관 : 산림조합, 제휴 증권사 외 전 증권사, 일부 상호 저축은행, HSBC 등2. 실시간 즉시결제 고객 결제계좌에서 즉시 결제하는 방법으로 홈페이지/모바일 (08시~24시) 또는 고객센터(영업일 09~18시, ☎ 1544-7000)를 통해 이용 가능하며 저축은행을 제외한 전 제휴 자동이체 기관의 계좌를 이용하는 경우에 한하여 이용 가능하며 결제 후 즉시 입금반영 됩니다. (제휴 금융기관: 상기 참조)1) 홈페이지: 마이페이지 > 카드이용내역 > 이용금액결제2) 모바일: 이용금액결제3. 가상계좌 입금(송금납부)을 통한 결제 1) 가상계좌란 카드대금 결제를 위해 카드사가 회원 별로 부여한 입금전용 계좌로 가상계좌로 입금 시 카드대금으로 즉시 입금반영 처리 됩니다.2) 회원 별로 부여되는 가상계좌는 홈페이지/모바일(24시간) 및 고객센터 (영업일 9시~18시, ☎1544-7000)를 통해 신청 및 조회 할 수 있으며 24시간 입금이 가능합니다.3) 인터넷 뱅킹, 모바일 뱅킹, 무통장 입금, 자동화기기에서 이체를 통해 가상계좌로 입금 가능합니다.(단, 자동화기기에서 현금 입금은 불가합니다.)4) 은행에 따라 가상계좌 입금 시 해당 은행이 부과하는 별도의 송금 수수료를 부담해야 하는 경우도 있습니다.5) 가상계좌로 입금 시 예금주가 회원 본인 성명으로 조회되는지 반드시 확인 바랍니다.※ 가상계좌 예금주 표기: 회원 본인이름(신한카드) 또는 신한카드(회원본인 이름)6) 당월 카드 이용대금 명세서 작업 전이나 특정 이용 건의 결제를 원할 경우 가상계좌 입금 후 반드시 고객센터(☎ 1544-7000)를 통해 처리요청 및 확인 바랍니다.4. 신한은행 창구 결제 신한은행 영업점에서 현금 또는 신한은행 결제계좌에서 카드대금을 즉시 결제하는 방법으로 즉시 입금반영 됩니다."
지로로 입금된 내역은 언제 확인 되나요?,지로로 결제대금을 입금하는 경우 지로대금 수납일자(D)+2영업일 소요되고 있으며 정상적인 결제일에 입금하신 경우에도 입금 반영 이전까지는 연체로 확인될 수 있으나 입금 반영과 동시에 실제 입금된 날짜를 기준으로 적용됩니다.
증권사 CMA계좌도 결제계좌 등록 가능한가요?,"증권사 CMA계좌도 신용카드 결제계좌로 등록이 가능합니다. 1. 기능업무 1) 신용카드 결제계좌 등록 가능(자동이체를 통한 카드대금 결제 가능) 2) 장기카드대출(카드론)과 단기카드대출(현금서비스) 이체 업무 가능 2. 주의사항 증권사에 따라 실시간 즉시결제 및 연체 시 자동이체 인출간격 제한 1) 실시간 즉시결제 가능 및 연체 시 매 영업일 인출 증권사: 신한금융투자, 유안타 증권, 삼성증권 (단, 은행연계 가상계좌를 결제계좌로 이용하는 경우 실시간 즉시결제 불가)2) 실시간 즉시결제 불가 및 연체 시 2~3영업일 간격 인출 증권사: 위 1)에 명시된 증권사 외 전 증권사 "
이용금액 결제서비스(실시간 즉시결제) 이용방법을 알고 싶어요.,"이용금액결제 서비스는 현재까지 이용한 이용금액의 전부 또는 일부를 즉시 출금하여 결제하는 서비스로 홈페이지/모바일을 통해 직접 이용할 수 있으며 신한카드 고객센터(☎ 1544-7000)를 통해서도 결제 가능합니다. 단, 제휴 금융기관(저축은행 제외)의 계좌를 이용하는 고객에 한하여 이용 가능하며 결제계좌의 지급가능액(수표 입금 시 자금화 완료 전까지 인출 불가)까지 출금하여 결제 가능합니다. 이용가능 금융기관 계좌 신한, 농협, 국민, 우리, KEB하나, 기업, 스탠다드차타드, 경남, 광주, 대구, 부산, 산업, 새마을금고, 수협, 신협, 한국씨티, 우체국, 전북, 제주, 신한금투, 유안타증권, 삼성증권 1. 연체금액 및 결제일 당일 실시간 결제 방법 1) 연체금액 또는 결제일 당일에 당월 청구금액의 전액 또는 일부 금액을 결제합니다. 2) 홈페이지: 마이페이지 > 카드이용내역 > 이용금액결제 > 연체금액/결제일당일 결제 3) 모바일: 이용금액결제 > 연체/결제일 당일결제 2. 당월 청구금액 선결제 방법 1) 결제일 이전에 당월 청구금액 전액을 미리 결제합니다. 2) 연체금액이 있을 경우 홈페이지 내 연체금액 결제일당일결제 메뉴에서 연체금액을 먼저 결제하신 후 이용하실 수 있습니다. 3) 홈페이지: 마이페이지 > 카드이용내역 > 이용금액결제 > 당월청구금액 선결제 4) 모바일: 이용금액결제 > 당월청구금액선결제 3. 이용건별 선결제 방법 1) 결제일 이전에 일시불, 할부, 단기카드대출(현금서비스), 일부 결제금액 이월약정(리볼빙), 장기카드대출(카드론) 이용건별 전액 또는 일부 금액을 결제합니다. 2) 홈페이지: 마이페이지 > 카드이용내역 > 이용금액결제 > 이용건별 선결제 3) 모바일: 이용금액결제 > 건별 선결제 "
은행 업무 마감시간 이후 카드대금 납부방법(결제방법)을 알고 싶어요,"은행 업무 마감시간 이후에도 실시간 즉시결제 및 가상계좌 입금(송금납부)을 통해 카드대금 결제가 가능합니다. 1. 실시간 즉시결제 1) 고객 결제계좌에서 즉시 결제하는 방법으로 홈페이지/모바일(08:00~24:00) 또는 고객센터 (영업일 오전 9시~오후 6시, ☎ 1544-7000)를 통해 이용 가능하며 제휴 자동이체 기관의 계좌를 이용하는 경우에 한해 이용 가능하며 결제 후 즉시 입금 반영됩니다. 2) 즉시결제 이용 가능 금융기관 계좌신한, 농협, 국민, 우리, KEB하나, 기업, 스탠다드차타드, 경남, 광주, 대구, 부산, 산업, 새마을금고, 수협, 신협, 한국씨티, 우체국, 전북, 제주, 신한금투, 유안타증권, 삼성증권 3) 홈페이지: 마이페이지 > 카드이용내역 > 이용금액결제 4) 모바일: 이용금액결제 2. 가상계좌 입금(송금납부)을 통한 결제 1) 가상계좌란 카드대금 결제를 위해 카드사가 회원 별로 부여한 입금전용 계좌로 가상계좌로 입금 시 카드대금으로 즉시 입금반영 처리됩니다. 2) 회원 별로 부여되는 가상계좌는 홈페이지/모바일(24시간) 및 고객센터(영업일 오전 9시~오후 6시, ☎ 1544-7000)를 통해 신청 및 조회할 수 있으며 24시간 입금이 가능합니다. 3) 인터넷 뱅킹, 모바일 뱅킹, 무통장 입금, 자동화기기에서 이체를 통해 가상계좌로 입금 가능합니다. (단, 자동화기기에서 현금 입금은 불가합니다) 4) 은행에 따라 가상계좌 입금 시 해당 은행이 부과하는 별도의 송금 수수료를 부담해야 하는 경우도 있습니다. 5) 가상계좌로 입금 시 예금주가 회원 본인 성명으로 조회되는지 반드시 확인 바랍니다. ※ 가상계좌 예금주 표기: 회원 본인이름(신한카드) 또는 신한카드(회원본인 이름) 6) 당월 카드 이용대금 명세서 작업 전이나 특정 이용 건의 결제를 원할 경우 가상계좌 입금 후 반드시 고객센터(☎ 1544-7000)를 통해 처리요청 및 확인 바랍니다."
연체금액을 모두 입금했는데 카드 사용은 가능한가요?,"신한카드 미납금액을 모두 완납했을 때에도 미납된 기간 및 개인신용도, 외부정보 등에 따라 카드 사용 가능 여부가 달라집니다. 따라서 미납금액 완납 후 카드를 사용하기 이전에 신한카드 고객센터(☎ 1544-7000) 또는 이메일 상담으로 카드 사용 가능 여부를 확인 후 이용하시기 바랍니다. "
